miles,average_fuel_price,fuel_surcharge,cross_ratio,ltr_start_state,ltr_end_state,team_driver,new_year,holiday,shipment_price
464,2.9130000000000003,118.16533329999999,1.066962314,9.35,6.54,0,0,0,14.25
601,3.028,163.5721667,0.992841855,8.76,7.98,1,0,1,18.5
464,2.407,75.86399999999999,1.066962314,4.63,0.98,0,0,0,14.25
295,2.519,53.88666667,1.004577694,5.55,1.35,0,0,1,8.5
295,2.49,52.31333333,1.004577694,15.75,8.08,0,0,1,9.0
295,2.8539999999999996,72.4225,1.004577694,9.35,6.54,0,0,1,9.0
601,2.929,152.75416669999998,0.992841855,10.31,3.79,1,0,0,19.5
294,2.7889999999999997,69.188,1.001172346,8.17,3.61,0,0,1,8.5
447,2.42,73.8295,1.0278710229999999,4.63,0.98,0,0,0,13.5
602,2.858,147.69066669999998,0.994493838,9.41,4.91,1,0,0,18.5
601,2.988,158.8643333,0.992841855,10.31,3.79,1,0,1,18.5
601,2.887,149.8493333,0.992841855,9.35,6.54,1,0,0,20.0
602,2.8539999999999996,147.791,0.994493838,9.35,6.54,1,0,1,19.5
601,2.929,152.75416669999998,0.992841855,10.31,3.79,1,0,0,18.5
448,2.8710000000000004,110.208,1.03017051,9.41,4.91,0,0,0,13.5
479,2.998,128.0526667,0.977490373,8.13,12.4,0,0,0,15.0
448,3.0610000000000004,124.76799999999999,1.03017051,8.76,7.98,0,0,1,9.5
295,2.8539999999999996,72.4225,1.004577694,9.35,6.54,0,0,1,9.0
448,2.782,104.7573333,1.03017051,9.35,6.54,0,0,1,14.25
601,2.748,129.4153333,0.992841855,9.3,1.92,1,0,1,19.5
435,2.8939999999999997,108.17,1.00027717,9.41,4.91,0,0,0,14.0
456,2.966,118.788,1.048566412,10.31,3.79,0,0,1,15.0
601,2.9130000000000003,153.05466669999998,0.992841855,9.35,6.54,1,0,0,19.5
448,2.938,115.13600000000001,1.03017051,8.13,12.4,0,0,1,14.0
479,2.7939999999999996,113.84233329999999,0.97749657,28.58,12.45,0,0,0,13.75
456,2.795,107.54,1.048566412,8.17,3.61,0,0,1,14.25
456,2.7880000000000003,107.16,1.048566412,28.58,12.45,0,0,1,14.25
456,2.715,98.572,1.048566412,9.3,1.92,0,0,0,14.25
602,2.8539999999999996,147.791,0.994493838,9.35,6.54,1,0,1,19.5
488,2.966,127.124,0.995862894,10.31,3.79,1,0,1,14.0
602,2.858,147.69066669999998,0.994493838,9.41,4.91,1,0,0,19.5
479,2.906,120.30883329999999,0.97749657,9.41,4.91,0,0,0,15.0
464,2.782,108.49866670000002,1.066962314,9.35,6.54,0,1,1,17.25
492,2.42,81.262,1.004019339,4.63,0.98,1,0,0,14.0
479,3.0610000000000004,133.4015,0.97749657,8.76,7.98,0,0,1,14.0
464,2.9130000000000003,118.16533329999999,1.066962314,9.35,6.54,0,0,0,14.25
479,2.858,117.5146667,0.97749657,9.41,4.91,0,0,0,15.0
493,2.906,123.82516670000001,1.006066407,9.41,4.91,1,0,0,15.5
602,3.042,166.2523333,0.994493838,8.76,7.98,1,0,1,12.0
295,2.966,76.8475,1.004577694,10.31,3.79,0,0,1,10.0
456,2.906,114.53200000000001,1.048566412,9.41,4.91,0,0,0,14.25
479,2.858,117.5146667,0.97749657,9.41,4.91,0,0,0,15.0
456,2.9130000000000003,116.12799999999999,1.048566412,9.35,6.54,0,0,0,16.0
602,2.906,151.20233330000002,0.994493838,9.41,4.91,1,0,0,19.5
491,2.7289999999999996,107.93816670000001,1.001985002,8.17,3.61,1,0,1,16.5
602,2.782,140.76766669999998,0.994493838,9.35,6.54,1,0,1,21.0
602,2.998,160.93466669999998,0.994493838,8.13,12.4,1,0,0,18.5
492,2.8939999999999997,122.344,1.004019339,9.41,4.91,1,0,0,15.5
447,2.898,112.495,1.0278710229999999,8.13,12.4,0,0,1,14.0
489,2.9389999999999996,124.4505,0.99789727,9.41,4.91,1,0,0,14.0
448,2.7880000000000003,105.28,1.03017051,28.58,12.45,0,0,1,13.5
479,2.7939999999999996,113.84233329999999,0.97749657,28.58,12.45,0,0,0,13.5
601,2.4619999999999997,103.2718333,0.992841855,5.55,1.35,1,0,0,19.0
456,2.8939999999999997,113.39200000000001,1.048566412,9.41,4.91,0,0,0,16.0
479,2.858,117.5146667,0.97749657,9.41,4.91,0,0,0,15.0
489,2.7880000000000003,114.915,0.997903597,28.58,12.45,1,0,1,13.5
435,2.8939999999999997,108.17,1.00027717,9.41,4.91,0,0,0,13.5
488,2.966,127.124,0.995862894,10.31,3.79,1,0,1,15.0
601,2.9389999999999996,154.55716669999998,0.992841855,8.13,12.4,1,0,1,18.5
283,2.968,74.05166667,0.9637135170000001,10.31,3.79,0,0,1,10.0
601,2.8939999999999997,149.4486667,0.992841855,9.41,4.91,1,0,0,19.5
